3352-87-2	Developmental Toxicity-fetal death mouse
286-20-4	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. CHO
28804-88-8	Genetic Toxicity -SCE in vitro; Developmental Toxicity-structural rodent; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Developmental Toxicity-retardation rabbit; Genetic Toxicity -E. coli; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity-carc rat; Genetic Toxicity -UDS; Developmental Toxicity-visceral rat; Genetic Toxicity -UDS rat hepatocytes; Developmental Toxicity-visceral rodent; Genetic Toxicity -SCE in vitro other cells; Reproductive Toxicity -repro rat female
930-22-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -repro rat male; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity -repro rodent male; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Reproductive Toxicity -sperm ratPositive; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
56-49-5	Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Reproductive Toxicity -repro rodent female; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells
2381-21-7	Genetic Toxicity -SCE in vitro; Developmental Toxicity-structural rodent; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Developmental Toxicity-visceral rat; Genetic Toxicity -UDS rat hepatocytes; Developmental Toxicity-visceral rodent; Genetic Toxicity -SCE in vitro other cells; Reproductive Toxicity -repro rat female
575-43-9	Genetic Toxicity -SCE in vitro; Developmental Toxicity-structural rodent; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Developmental Toxicity-visceral rat; Genetic Toxicity -UDS rat hepatocytes; Developmental Toxicity-visceral rodent; Genetic Toxicity -SCE in vitro other cells; Reproductive Toxicity -repro rat female
607-57-8	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Reproductive Toxicity-carc rat female; Reproductive Toxicity-carc mouse female; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity-carc rat; Genetic Toxicity -UDS; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
21416-67-1	Developmental Toxicity-post impl. loss mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Developmental Toxicity-retardation rabbit; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -micronucleus mouse
24584-09-6	Developmental Toxicity-post impl. loss mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Developmental Toxicity-retardation rabbit; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -micronucleus mouse
120066-54-8	Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Neurotoxicityy-pup behavior mouse; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -yeast
60-57-1	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Developmental Toxicity-retardation rat; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm rodent; Developmental Toxicity-post impl. loss rodent
72-20-8	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Developmental Toxicity-retardation rat; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent female; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm rodent; Developmental Toxicity-post impl. loss rodent
97-02-9	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
5131-58-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
5307-14-2	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
99-56-9	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
5522-43-0	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rat; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
100-01-6	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -liver acute; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
88-74-4	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-carc mouse female; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
99-09-2	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-carc mouse female; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
93-46-9	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO
304-28-9	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Reproductive Toxicity-carc rat female; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Reproductive Toxicity-carc rat; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Reproductive Toxicity-carc rat male
53-96-3	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Reproductive Toxicity-carc rat female; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Reproductive Toxicity-carc rat; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Reproductive Toxicity-carc rat male
578-46-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-carc mouse female; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male
613-13-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-carc rat female; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO
91-59-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-carc rat female; Genetic Toxicity -In vitro composite; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO
